Name,Size,Bet,Market,Time,Price,Entry,Avg,"Market
Trades","Market
Volume","Volume
Conc.","Market
PnL","Total
Trades","Unique
Markets","Trade
Conc.","Open
Positions","O.P.
Value",Tot.PnL,Tot.Vol,"Wallet
Age","WC/TX
Delta","WC/TX
%","Active
Market","Active
Hold",Tx Hash,Polymarket,Profile,Market Link
not404found,$1.2K,Yes,Will Iran name a successor to Khamenei by March 2?,2h,0.66,0.66,0.66,1,$1.2K,19.11%,-$673,3,2,33.3%,1,$527,-$407,$6.3K,12h,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-iran-name-a-successor-to-khamenei-by-march-2-645-466-285-492
blackass,$1.9K,Yes,Will the Iranian regime fall by March 31?,2h,0.42,0.42,0.42,1,$1.9K,41.92%,-$193,1,1,100.0%,1,$1.7K,-$193,$4.6K,186d,186d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31
IdanT,$4.5K,Yes,"Will US or Israel strike Iran on March 3, 2026?",2h,0.85,0.85,0.85,1,$4.5K,45.13%,-$35,9,5,11.1%,1,$4.4K,$3.2K,$9.9K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-us-or-israel-strike-iran-on-march-3-2026
alphastrike10,$1.0K,Yes,"Will ""Macbook"" be said 10+ times during the NYC Apple eve...",2h,0.89,0.89,0.89,1,$1.0K,14.86%,$42,4,3,25.0%,3,$5.7K,-$320,$6.7K,10d,10d,0.00%,Yes,No,,,,https://polymarket.com/market/will-macbook-be-said-10-times-during-the-nyc-apple-event-on-march-4
err0r404,$1.4K,Yes,Will Iran close the Strait of Hormuz by March 31?,2h,0.67,0.67,0.67,1,$1.4K,66.94%,-$72,1,1,100.0%,1,$1.3K,-$72,$2.1K,15d,15d,0.00%,Yes,No,,,,https://polymarket.com/market/will-iran-close-the-strait-of-hormuz-by-march-31
0x9422a91F84C9b...,$1.3K,Israel,Will US or Israel strike Iran first?,2h,0.57,0.57,0.57,1,$1.3K,26.60%,$68,3,2,33.3%,1,$1.3K,$1.1K,$4.7K,16d,16d,0.00%,Yes,No,,,,https://polymarket.com/market/will-us-or-israel-strike-iran-first
Shinoo,$1.5K,No,Khamenei out as Supreme Leader of Iran by February 28?,3h,0.11,0.11,0.11,2,$1.8K,1.26%,$-1.2K,11,6,18.2%,0,$0,$1.8K,$143.3K,20d,19d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
YokaiCapital,$5.0K,No,Khamenei out as Supreme Leader of Iran by February 28?,3h,0.11,0.10,0.07,4,$17.9K,5.05%,$-5.1K,4,1,100.0%,1,$12.7K,$-5.1K,$353.9K,3h,0d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
0x6646672e0c3b6...,$5.0K,No,Khamenei out as Supreme Leader of Iran by February 28?,3h,0.11,0.05,0.06,7,$8.2K,5.60%,$-3.6K,24,9,29.2%,4,$3.0K,$-1.8K,$146.5K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
jub11,$4.0K,No,Khamenei out as Supreme Leader of Iran by February 28?,3h,0.11,0.11,0.08,3,$4.4K,7.34%,$-2.6K,4,2,75.0%,1,$1.8K,$5.9K,$59.8K,5d,5d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
YokaiCapital,$5.5K,No,Khamenei out as Supreme Leader of Iran by February 28?,3h,0.10,0.10,0.07,4,$17.9K,5.05%,$-5.1K,4,1,100.0%,1,$12.7K,$-5.1K,$353.9K,3h,0d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
tardoor,$5.4K,No,Khamenei out as Supreme Leader of Iran by February 28?,3h,0.10,0.10,0.10,13,$8.2K,4.39%,$-5.4K,19,2,68.4%,0,$0,$-5.5K,$185.7K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
0x6fe9785ea3e6e...,$9.9K,Yes,Will the next Prime Minister of Hungary be Péter Magyar?,3h,0.65,0.64,0.64,2,$9.9K,64.89%,-$213,2,1,100.0%,1,$9.7K,-$213,$15.3K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-next-prime-minister-of-hungary-be-pter-magyar
0xf3A4710f66a6D...,$3.0K,No,Khamenei out as Supreme Leader of Iran by February 28?,3h,0.11,0.47,0.15,7,$9.6K,5.75%,$-4.4K,12,5,58.3%,0,$0,$-3.3K,$167.7K,79d,79d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
bowser66,$1.5K,No,Iran x Israel/US conflict ends by March 7?,3h,0.85,0.80,0.79,4,$2.0K,26.23%,-$88,24,9,16.7%,2,$1.9K,-$7,$7.5K,1d,0d,0.00%,Yes,No,,,,https://polymarket.com/market/iran-x-israelus-conflict-ends-by-march-7
nigggboy,$20.0K,Yes,Will the Iranian regime fall by March 31?,3h,0.39,0.17,0.28,2,$21.0K,14.54%,$403,18,12,11.1%,7,$21.4K,$13.9K,$144.3K,40d,40d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31
0x071b726267819...,$2.0K,Yes,Will the Iranian regime fall by June 30?,3h,0.55,0.55,0.55,1,$2.0K,16.04%,-$212,5,4,20.0%,3,$3.9K,$261,$12.5K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-june-30
m4rks,$2.1K,Yes,Will the Iranian regime fall before 2027?,3h,0.62,0.56,0.59,3,$3.7K,15.91%,-$115,13,7,23.1%,4,$2.9K,$50,$23.4K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-the-end-of-2026
Nostrog33,$10.0K,No,Khamenei out as Supreme Leader of Iran by March 31?,3h,0.13,0.13,0.08,4,$17.5K,5.72%,$-12.7K,14,4,28.6%,2,$4.8K,-$451,$305.8K,260d,260d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-march-31
bbbbbbbbbbb6686,$10.0K,Yes,Khamenei out as Supreme Leader of Iran by February 28?,3h,0.89,0.94,0.92,4,$214.0K,92.92%,$8.0K,4,1,100.0%,1,$222.0K,$8.0K,$230.3K,4h,0d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
0x612b36dC9aB6d...,$1.0K,No,Iran x Israel/US conflict ends by March 15?,3h,0.60,0.60,0.60,1,$1.0K,52.40%,$50,2,2,50.0%,2,$1.1K,$46,$1.9K,4h,0d,0.00%,Yes,No,,,,https://polymarket.com/market/iran-x-israelus-conflict-ends-by-march-15
Freelifebooker,$2.5K,Yes,Will the Iranian regime fall by March 31?,3h,0.41,0.41,0.41,1,$2.5K,40.98%,-$197,1,1,100.0%,1,$2.3K,-$197,$6.1K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31
slpyj4o,$1.0K,No,Khamenei out as Supreme Leader of Iran by February 28?,3h,0.13,0.13,0.13,2,$1.2K,3.01%,-$797,25,12,8.0%,0,$0,$280,$40.0K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
Mira911,$2.0K,Yes,Will the Iranian regime fall before 2027?,4h,0.62,0.41,0.47,3,$2.2K,7.84%,$7,23,15,13.0%,4,$3.7K,$645,$28.0K,236d,236d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-the-end-of-2026
FlyerOne,$1.3K,Yes,"Iran strike on Qatar by February 28, 2026?",4h,0.87,0.87,0.87,2,$2.6K,45.72%,$50,9,7,22.2%,2,$0,$417,$5.7K,50d,49d,0.00%,Yes,No,,,,https://polymarket.com/market/iran-strike-on-qatar-by-february-28-2026-334
0x72676b159cb58...,$2.1K,Yes,Will the Iranian regime fall by March 31?,4h,0.41,0.41,0.41,1,$2.1K,18.10%,-$159,7,6,14.3%,2,$4.0K,$2.3K,$11.4K,48d,48d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31
wakaflakad,$2.0K,Yes,Will the Iranian regime fall by June 30?,4h,0.61,0.61,0.61,1,$2.0K,50.31%,-$401,2,2,50.0%,2,$2.1K,-$364,$4.0K,8d,7d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-june-30
Seanath,$2.3K,Yes,Will the Iranian regime fall by June 30?,4h,0.61,0.61,0.61,1,$2.3K,19.06%,-$445,15,6,6.7%,1,$1.9K,$1.4K,$12.2K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-june-30
fgjgod,$2.4K,Yes,Will the Iranian regime fall by March 31?,4h,0.42,0.42,0.42,1,$2.4K,13.16%,-$219,14,8,7.1%,5,$2.1K,-$723,$17.9K,144d,144d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31
UASUAVeee,$5.7K,No,Will Trump visit China by March 31?,4h,0.41,0.41,0.41,1,$5.7K,8.11%,$108,4,3,25.0%,2,$5.8K,$-3.2K,$70.6K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-trump-visit-china-by-march-31
Kingbeebee,$5.6K,Yes,Will the Iranian regime fall by March 31?,4h,0.43,0.41,0.42,2,$12.1K,20.33%,$-1.1K,6,3,33.3%,1,$11.0K,$6.0K,$59.4K,1d,1d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31
AlongCamePol,$2.0K,Yes,Will the Iranian regime fall before 2027?,4h,0.59,0.56,0.57,2,$4.1K,11.45%,$108,18,7,11.1%,3,$10.6K,$5.2K,$35.4K,22d,22d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-the-end-of-2026
TherealMrblue,$3.6K,Yes,Will the Iranian regime fall by March 31?,4h,0.43,0.43,0.43,1,$3.6K,10.88%,-$428,3,2,33.3%,1,$3.2K,$7.0K,$33.1K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31
0x31e779a3F2164...,$3.0K,No,Iran Strike on Israel by February 28?,4h,0.32,0.32,0.33,2,$4.0K,32.03%,$-4.0K,2,1,100.0%,1,$0,$-4.0K,$12.5K,4h,0d,0.00%,No,No,,,,https://polymarket.com/market/iran-strike-on-israel-by-february-28
0xc038548349B05...,$1.3K,Yes,Will the Iranian regime fall by June 30?,4h,0.57,0.57,0.57,1,$1.3K,57.20%,-$182,1,1,100.0%,1,$1.1K,-$182,$2.2K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-june-30
oxidationcamo,$3.0K,No,Will the US confirm that aliens exist before 2027?,4h,0.83,0.83,0.83,2,$3.7K,56.76%,-$68,5,3,40.0%,3,$5.7K,-$49,$6.6K,17h,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-us-confirm-that-aliens-exist-before-2027
MB1982,$2.0K,No,Iran Strike on Israel by February 28?,4h,0.30,0.20,0.24,6,$4.9K,2.48%,$-4.4K,24,8,25.0%,1,$282,$-7.6K,$196.6K,N/A,0d,0.00%,No,No,,,,https://polymarket.com/market/iran-strike-on-israel-by-february-28
TinyNicolas,$3.0K,Yes,Will the Iranian regime fall by June 30?,4h,0.55,0.48,0.51,2,$8.0K,50.40%,-$223,2,1,100.0%,1,$7.8K,-$223,$15.9K,52d,52d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-june-30
jkey,$2.1K,Yes,Will the Iranian regime fall by March 31?,4h,0.43,0.43,0.43,1,$2.1K,5.34%,-$266,16,6,6.3%,3,$1.8K,$657,$39.3K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31
delphy,$2.0K,No,Will the Iranian regime fall by March 31?,4h,0.60,0.60,0.60,2,$4.0K,14.79%,$49,5,3,40.0%,1,$2.0K,$2.2K,$27.4K,225d,224d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31
0x557ACa156C39e...,$1.1K,No,"Will US or Israel strike Iran on March 4, 2026?",4h,0.17,0.17,0.17,1,$1.1K,1.80%,$670,12,7,8.3%,4,$1.8K,$14.7K,$61.2K,6d,6d,0.00%,Yes,No,,,,https://polymarket.com/market/will-us-or-israel-strike-iran-on-march-4-2026
Kingbeebee,$6.5K,Yes,Will the Iranian regime fall by March 31?,4h,0.41,0.41,0.42,2,$12.1K,20.33%,$196,6,3,33.3%,1,$12.3K,$7.3K,$59.4K,1d,1d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31
mrhaha,$3.5K,Yes,Will the Iranian regime fall by March 31?,5h,0.37,0.37,0.37,1,$3.5K,11.01%,$432,5,2,20.0%,1,$4.0K,$2.7K,$31.5K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31
0x2bfe1d58e94B5...,$1.2K,Yes,Will the Iranian regime fall by March 31?,5h,0.36,0.25,0.30,4,$3.6K,25.40%,$148,11,4,36.4%,0,$0,$341,$14.1K,1d,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31
0x6f75770e3C3cc...,$2.5K,Yes,Khamenei out as Supreme Leader of Iran by February 28?,5h,0.62,0.31,0.50,4,$14.1K,30.02%,$5.2K,6,2,66.7%,0,$0,$16.0K,$47.1K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
kinglavi,$4.4K,Yes,Khamenei out as Supreme Leader of Iran by February 28?,5h,0.61,0.50,0.44,7,$17.3K,65.93%,$3.5K,7,1,100.0%,0,$0,$3.5K,$26.3K,427d,427d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
JimJax,$5.0K,Yes,Iran Strike on Israel by February 28?,5h,0.84,0.84,0.84,2,$10.9K,25.92%,$902,7,5,28.6%,3,$8.1K,$5.8K,$42.1K,38d,38d,0.00%,No,No,,,,https://polymarket.com/market/iran-strike-on-israel-by-february-28
TinyNicolas,$5.0K,Yes,Will the Iranian regime fall by June 30?,5h,0.48,0.48,0.51,2,$8.0K,50.40%,$729,2,1,100.0%,1,$8.7K,$729,$15.9K,52d,52d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-june-30
0x2dc1B8D4f1617...,$7.0K,Yes,Khamenei out as Supreme Leader of Iran by March 31?,5h,0.80,0.45,0.69,5,$37.8K,32.18%,$5.8K,25,9,20.0%,2,$10.8K,$18.4K,$117.6K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-march-31
schumann17,$4.8K,No,Will China invade Taiwan by end of 2026?,5h,0.89,0.89,0.89,1,$4.8K,31.19%,-$8,13,11,7.7%,8,$4.8K,-$232,$15.4K,342d,342d,0.00%,Yes,No,,,,https://polymarket.com/market/will-china-invade-taiwan-before-2027
alg88,$58.1K,No,Khamenei out as Supreme Leader of Iran by February 28?,5h,0.40,0.45,0.45,5,$85.3K,16.80%,$-71.0K,14,6,35.7%,0,$0,$-74.9K,$507.6K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
0xBA0f854E70D9E...,$1.5K,No,Khamenei out as Supreme Leader of Iran by February 28?,5h,0.38,0.10,0.54,16,$17.2K,20.11%,-$387,24,6,66.7%,4,$83,-$593,$85.8K,22d,21d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
Danieljay,$1.5K,Yes,Khamenei out as Supreme Leader of Iran by March 31?,5h,0.80,0.48,0.58,3,$4.1K,35.89%,$3.0K,6,3,50.0%,1,$7.1K,$5.5K,$11.3K,404d,404d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-march-31
vandetta,$2.0K,No,Khamenei out as Supreme Leader of Iran by February 28?,5h,0.38,0.38,0.21,4,$3.9K,8.00%,$-3.3K,8,4,50.0%,1,$620,$-3.5K,$49.3K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
CybrMadHatter,$2.2K,Yes,Khamenei out as Supreme Leader of Iran by March 31?,5h,0.78,0.26,0.52,2,$3.1K,17.28%,$2.9K,6,3,33.3%,1,$6.0K,$3.7K,$17.8K,51d,50d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-march-31
hazani,$1.4K,No,Khamenei out as Supreme Leader of Iran by February 28?,5h,0.38,0.68,0.55,5,$4.5K,30.46%,$-4.2K,12,4,41.7%,4,$280,$-4.7K,$14.7K,153d,153d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
0x0Ad7f1a66E6B6...,$10.0K,Yes,Khamenei out as Supreme Leader of Iran by February 28?,5h,0.63,0.02,0.22,4,$17.0K,6.87%,$10.2K,18,5,22.2%,2,$15.5K,$49.4K,$247.2K,3d,3d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
Ya-Ali,$2.0K,No,Khamenei out as Supreme Leader of Iran by February 28?,5h,0.38,0.38,0.22,2,$2.7K,15.85%,$-2.2K,2,1,100.0%,1,$571,$-2.2K,$17.3K,258d,258d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
Wsinthechat,$1.3K,No,Khamenei out as Supreme Leader of Iran by February 28?,5h,0.38,0.38,0.38,1,$1.3K,2.19%,$-1.2K,14,9,7.1%,4,$113,$-1.3K,$59.8K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
0x0d7ceF17947f2...,$1.1K,No,Khamenei out as Supreme Leader of Iran by February 28?,5h,0.38,0.38,0.38,3,$1.6K,18.29%,$-1.3K,4,2,75.0%,1,$140,$-1.3K,$8.6K,5h,0d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
0x56645E5C7825e...,$1.7K,No,Khamenei out as Supreme Leader of Iran by March 31?,5h,0.21,0.27,0.20,19,$3.2K,19.47%,$-2.8K,19,1,100.0%,1,$450,$-2.8K,$16.7K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-march-31
AlongCamePol,$2.0K,Yes,Will the Iranian regime fall before 2027?,5h,0.56,0.56,0.57,2,$4.1K,11.45%,$320,18,7,11.1%,3,$10.7K,$5.3K,$35.4K,22d,21d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-the-end-of-2026
vandetta,$1.5K,No,Khamenei out as Supreme Leader of Iran by February 28?,5h,0.38,0.38,0.21,4,$3.9K,8.00%,$-3.3K,8,4,50.0%,1,$620,$-3.5K,$49.3K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
yohow,$2.5K,Yes,Will the Iranian regime fall before 2027?,5h,0.56,0.54,0.55,8,$20.0K,31.80%,$2.3K,11,2,72.7%,2,$23.2K,$-5.3K,$62.9K,5h,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-the-end-of-2026
yohow,$2.5K,Yes,Will the Iranian regime fall before 2027?,5h,0.56,0.54,0.55,8,$20.0K,31.80%,$2.3K,11,2,72.7%,2,$23.2K,$-5.3K,$62.9K,5h,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-the-end-of-2026
yohow,$2.5K,Yes,Will the Iranian regime fall before 2027?,5h,0.56,0.54,0.55,8,$20.0K,31.80%,$2.3K,11,2,72.7%,2,$23.2K,$-5.3K,$62.9K,5h,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-the-end-of-2026
yohow,$2.5K,Yes,Will the Iranian regime fall before 2027?,5h,0.56,0.54,0.55,8,$20.0K,31.80%,$2.3K,11,2,72.7%,2,$23.2K,$-5.3K,$62.9K,5h,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-the-end-of-2026
yohow,$2.5K,No,Khamenei out as Supreme Leader of Iran by February 28?,5h,0.38,0.54,0.34,3,$8.5K,13.52%,$-7.7K,11,2,27.3%,2,$23.2K,$-5.3K,$62.9K,5h,0d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
Megabyte911,$3.5K,Yes,Khamenei out as Supreme Leader of Iran by June 30?,5h,0.83,0.80,0.81,3,$3.8K,24.29%,$660,13,4,23.1%,2,$5.9K,$3.0K,$15.5K,11d,10d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-june-30-747
Vk1999,$5.0K,No,Will the Iranian regime fall by June 30?,5h,0.56,0.56,0.56,1,$5.0K,56.42%,$-1.0K,1,1,100.0%,1,$4.0K,$-1.0K,$8.9K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-june-30
deezzir,$2.2K,No,Khamenei out as Supreme Leader of Iran by February 28?,5h,0.38,0.38,0.38,1,$2.2K,38.30%,$-2.0K,1,1,100.0%,1,$170,$-2.0K,$5.7K,29d,29d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
0x5856f1d98853c...,$2.8K,Yes,Khamenei out as Supreme Leader of Iran by March 31?,5h,0.78,0.49,0.64,2,$3.3K,15.42%,$1.2K,7,4,28.6%,2,$4.4K,$3.3K,$21.2K,27d,26d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-march-31
0x88f0c6e549fa7...,$1.5K,Yes,Another Canada election called by June 30?,5h,0.44,0.44,0.44,1,$1.5K,11.07%,-$954,14,11,7.1%,7,$1.1K,$-4.0K,$13.6K,34d,33d,0.00%,Yes,No,,,,https://polymarket.com/market/another-canada-election-called-by-june-30
lion.of.zion,$6.5K,Yes,Will the Iranian regime fall by March 31?,5h,0.35,0.12,0.25,3,$13.8K,16.19%,$7.4K,7,2,42.9%,1,$21.2K,$15.7K,$85.4K,480d,479d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31
nugggetz,$1.2K,Yes,Will the Fed decrease interest rates by 25 bps after the ...,5h,0.14,0.13,0.14,2,$2.7K,1.00%,-$130,15,6,13.3%,5,$6.9K,$1.9K,$270.0K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-fed-decrease-interest-rates-by-25-bps-after-the-april-2026-meeting
alg88,$5.0K,No,Khamenei out as Supreme Leader of Iran by February 28?,5h,0.42,0.45,0.45,5,$85.3K,16.80%,$-71.0K,14,6,35.7%,0,$0,$-74.9K,$507.6K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
0x7f34946456535...,"$1,000",Yes,Will the U.S. invade Cuba in 2026?,5h,0.15,0.15,0.18,2,$2.0K,17.79%,$23,2,1,100.0%,1,$2.0K,$23,$11.2K,5h,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-us-invade-cuba-in-2026
0xBA0f854E70D9E...,$1.5K,Yes,Khamenei out as Supreme Leader of Iran by February 28?,5h,0.61,0.10,0.54,16,$17.2K,20.11%,-$387,24,6,66.7%,4,$83,-$593,$85.8K,22d,21d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
0x2dc1B8D4f1617...,$4.0K,Yes,Khamenei out as Supreme Leader of Iran by March 31?,5h,0.77,0.45,0.69,5,$37.8K,32.18%,$5.8K,25,9,20.0%,2,$10.8K,$18.4K,$117.6K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-march-31
