Name,Size,Bet,Market,Time,Price,Entry,Avg,Market Trades,Market Volume,Volume Conc.,Market PnL,Total Trades,Unique Markets,Trade Conc.,Open Positions,O.P. Value,Tot.PnL,Tot.Vol,Wallet Age,WC/TX Delta,WC/TX %,Active Market,Active Hold,Tx Hash,Polymarket,Profile,Market Link,Outcome
leland551gustav,1500,0,Will the Colorado Avalanche win the 2026 NHL Stanley Cup?,60,0.77,0.77,0.77,4,8000,0.1756,0,10,4,0.4,0,0,0,45800,,0,0,1,0,,,,https://polymarket.com/market/will-the-colorado-avalanche-win-the-2026-nhl-stanley-cup,
0x90c079881aFe7...,3800,0,Will the Colorado Avalanche win the 2026 NHL Stanley Cup?,60,0.77,0.77,0.77,3,7600,0.1459,0,17,6,0.176,0,0,-9,51800,501120,501120,0,1,0,,,,https://polymarket.com/market/will-the-colorado-avalanche-win-the-2026-nhl-stanley-cup,
Ryker709,2000,1,Will the Colorado Avalanche win the 2026 NHL Stanley Cup?,60,0.23,0.23,0.23,4,3900,0.0585,17,14,3,0.286,0,0,25,67300,840,0,0,1,0,,,,https://polymarket.com/market/will-the-colorado-avalanche-win-the-2026-nhl-stanley-cup,
jethro930philli...,1900,0,Will Gavin Newsom win the 2028 Democratic presidential no...,60,0.75,0.75,0.75,1,1900,0.0601,6,14,6,0.071,1,1900,-1,32200,375840,375840,0,1,0,,,,https://polymarket.com/market/will-gavin-newsom-win-the-2028-democratic-presidential-nomination-568,
0x31795e35fdeaf...,1700,1,Iran agrees to end enrichment of uranium by March 31?,60,0.22,0.22,0.22,1,1700,0.1494,214,3,2,0.333,1,1900,1600,11300,15840,15840,0,0,0,,,,https://polymarket.com/market/iran-agrees-to-end-enrichment-of-uranium-by-march-31,
Huntrossity,2000,0,Iran x Israel/US conflict ends by March 15?,120,0.66,0.66,0.66,1,2000,0.1064,242,6,3,0.167,2,4600,154,18800,,0,0,0,0,,,,https://polymarket.com/market/iran-x-israelus-conflict-ends-by-march-15,
Huntrossity,2800,0,Iran x Israel/US conflict ends by March 7?,120,0.89,0.89,0.89,1,2800,0.1468,-46,6,3,0.167,2,4600,154,18800,,0,0,0,0,,,,https://polymarket.com/market/iran-x-israelus-conflict-ends-by-march-7,
kleptomanie,1200,0,US x Iran ceasefire by March 2?,120,0.9,0.9,0.9,1,1200,0.1713,-3,9,7,0.111,6,1300,-142,6800,14400,14400,0,0,0,,,,https://polymarket.com/market/us-x-iran-ceasefire-by-march-2,
maxmaxwin,3000,1,Iran strike on Qatar by February 28 2026?,120,0.89,0.89,0.89,1,3000,0.0652,-29,10,6,0.1,2,7300,14100,46000,64800,63360,0,0,0,,,,https://polymarket.com/market/iran-strike-on-qatar-by-february-28-2026-334,
musonic,13000,0,Will the US confirm that aliens exist before 2027?,120,0.82,0.82,0.82,3,13400,0.7957,-83,11,8,0.273,2,13400,22100,16900,2760480,2760480,0,1,0,,,,https://polymarket.com/market/will-the-us-confirm-that-aliens-exist-before-2027,
aurabot,1000,1,Will the Iranian regime fall by March 31?,120,0.4,0.4,0.4,1,1000,0.1231,-85,4,2,0.25,2,935,-2200,8100,480,0,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31,
0xFc228A04ac831...,2600,1,Will the Iranian regime fall by March 31?,120,0.4,0.4,0.4,1,2600,0.0475,-221,16,9,0.063,5,2300,-605,53800,66240,64800,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31,
maxmaxwin,5000,Israel,Will US or Israel strike Iran first?,120,0.69,0.69,0.69,1,5000,0.1087,-672,10,6,0.1,2,7300,14100,46000,64800,63360,0,1,0,,,,https://polymarket.com/market/will-us-or-israel-strike-iran-first,
Zougongjin,2800,1,Will Iran close the Strait of Hormuz by March 31?,180,0.63,0.54,0.58,4,4500,0.3726,-977,6,2,0.667,1,3800,996,12100,7200,7200,0,0,0,,,,https://polymarket.com/market/will-iran-close-the-strait-of-hormuz-by-march-31,
0x39fD1AEd55f09...,1300,1,Will the Iranian regime fall by June 30?,180,0.55,0.55,0.55,1,1300,0.0735,60,22,10,0.045,6,3100,1400,17700,,0,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-june-30,
vettfer,5000,Israel,Will US or Israel strike Iran first?,180,0.7,0.7,0.7,1,5000,0.067,-738,7,5,0.143,4,34400,4500,74600,11520,11520,0,1,0,,,,https://polymarket.com/market/will-us-or-israel-strike-iran-first,
Zougongjin,1400,1,Will Iran close the Strait of Hormuz by March 31?,180,0.54,0.54,0.58,4,4500,0.3726,-977,6,2,0.667,1,3800,996,12100,7200,7200,0,0,0,,,,https://polymarket.com/market/will-iran-close-the-strait-of-hormuz-by-march-31,
0x9a0a1ca337a25...,2000,0,Will the next Prime Minister of Hungary be Péter Magyar?,180,0.38,0.46,0.43,3,3300,0.1913,-310,6,2,0.5,2,6100,-872,17100,,0,0,1,0,,,,https://polymarket.com/market/will-the-next-prime-minister-of-hungary-be-pter-magyar,
0xeC5fE39930B0b...,1500,0,US x Iran ceasefire by March 2?,240,0.82,0.82,0.82,1,1500,0.0818,130,24,16,0.042,1,1600,-25,18000,79200,79200,0,0,0,,,,https://polymarket.com/market/us-x-iran-ceasefire-by-march-2,
not404found,1200,1,Will Iran name a successor to Khamenei by March 2?,240,0.66,0.66,0.66,1,1200,0.1911,-73,3,2,0.333,1,1100,192,6300,840,0,0,0,0,,,,https://polymarket.com/market/will-iran-name-a-successor-to-khamenei-by-march-2-645-466-285-492,
blackass,1900,1,Will the Iranian regime fall by March 31?,240,0.42,0.42,0.42,1,1900,0.4192,-241,1,1,1,1,1700,-241,4600,,0,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31,
IdanT,4500,1,Will US or Israel strike Iran on March 3 2026?,240,0.85,0.85,0.85,1,4500,0.4513,-35,9,5,0.111,1,4400,3200,9900,678240,678240,0,0,0,,,,https://polymarket.com/market/will-us-or-israel-strike-iran-on-march-3-2026,
alphastrike10,1000,1,"Will ""Macbook"" be said 10+ times during the NYC Apple eve...",240,0.89,0.89,0.89,1,1000,0.1486,47,4,3,0.25,3,5800,-211,6700,,0,0,0,0,,,,https://polymarket.com/market/will-macbook-be-said-10-times-during-the-nyc-apple-event-on-march-4,
err0r404,1400,1,Will Iran close the Strait of Hormuz by March 31?,240,0.67,0.67,0.67,1,1400,0.6694,-343,1,1,1,1,1100,-343,2100,23040,21600,0,0,0,,,,https://polymarket.com/market/will-iran-close-the-strait-of-hormuz-by-march-31,
0x9422a91F84C9b...,1300,Israel,Will US or Israel strike Iran first?,240,0.57,0.57,0.57,1,1300,0.266,45,3,2,0.333,1,1300,1100,4700,23040,23040,0,1,0,,,,https://polymarket.com/market/will-us-or-israel-strike-iran-first,
Shinoo,1500,0,Khamenei out as Supreme Leader of Iran by February 28?,240,0.11,0.11,0.11,2,1800,0.0126,-1200,11,6,0.182,0,0,1800,143300,,0,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
YokaiCapital,5000,0,Khamenei out as Supreme Leader of Iran by February 28?,300,0.11,0.1,0.07,4,17900,0.0505,-16600,4,1,1,1,1200,-16600,353900,300,0,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
0x6646672e0c3b6...,5000,0,Khamenei out as Supreme Leader of Iran by February 28?,300,0.11,0.05,0.06,7,8200,0.056,-3600,24,9,0.292,4,3000,-1800,146500,,0,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
jub11,4000,0,Khamenei out as Supreme Leader of Iran by February 28?,300,0.11,0.11,0.08,3,4400,0.0734,-2600,4,2,0.75,1,1900,6000,59800,8640,7200,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
YokaiCapital,5500,0,Khamenei out as Supreme Leader of Iran by February 28?,300,0.1,0.1,0.07,4,17900,0.0505,-4800,4,1,1,1,13100,-4800,353900,300,0,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
tardoor,5400,0,Khamenei out as Supreme Leader of Iran by February 28?,300,0.1,0.1,0.1,13,8200,0.0439,-5400,19,2,0.684,0,0,-5500,185700,,0,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
0x6fe9785ea3e6e...,9900,1,Will the next Prime Minister of Hungary be Péter Magyar?,300,0.65,0.64,0.64,2,9900,0.6489,-213,2,1,1,1,9700,-213,15300,,0,0,1,0,,,,https://polymarket.com/market/will-the-next-prime-minister-of-hungary-be-pter-magyar,
0xf3A4710f66a6D...,3000,0,Khamenei out as Supreme Leader of Iran by February 28?,300,0.11,0.47,0.15,7,9600,0.0575,-4400,12,5,0.583,0,0,-3300,167700,115200,113760,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
bowser66,1500,0,Iran x Israel/US conflict ends by March 7?,300,0.85,0.8,0.79,4,2000,0.2623,-88,24,9,0.167,2,1900,-7,7500,1440,0,0,0,0,,,,https://polymarket.com/market/iran-x-israelus-conflict-ends-by-march-7,
nigggboy,20000,1,Will the Iranian regime fall by March 31?,300,0.39,0.17,0.28,2,21000,0.1454,687,18,12,0.111,7,21700,14200,144300,57600,57600,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31,
0x071b726267819...,2000,1,Will the Iranian regime fall by June 30?,300,0.55,0.55,0.55,1,2000,0.1604,-48,5,4,0.2,3,4100,483,12500,,0,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-june-30,
m4rks,2100,1,Will the Iranian regime fall before 2027?,300,0.62,0.56,0.59,3,3700,0.1591,37,13,7,0.231,4,3100,281,23400,,0,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-the-end-of-2026,
Nostrog33,10000,0,Khamenei out as Supreme Leader of Iran by March 31?,300,0.13,0.13,0.08,4,17500,0.0572,-9200,14,4,0.286,2,8200,3000,305800,374400,374400,0,1,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-march-31,
bbbbbbbbbbb6686,10000,1,Khamenei out as Supreme Leader of Iran by February 28?,300,0.89,0.94,0.92,4,214000,0.9292,7300,4,1,1,1,221300,7300,230300,300,0,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
0x612b36dC9aB6d...,1000,0,Iran x Israel/US conflict ends by March 15?,300,0.6,0.6,0.6,1,1000,0.524,175,2,2,0.5,2,1200,174,1900,360,0,0,0,0,,,,https://polymarket.com/market/iran-x-israelus-conflict-ends-by-march-15,
Freelifebooker,2500,1,Will the Iranian regime fall by March 31?,300,0.41,0.41,0.41,1,2500,0.4098,-166,1,1,1,1,2300,-166,6100,7200,5760,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31,
slpyj4o,1000,0,Khamenei out as Supreme Leader of Iran by February 28?,300,0.13,0.13,0.13,2,1200,0.0301,-797,25,12,0.08,0,0,280,40000,,0,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
Mira911,2000,1,Will the Iranian regime fall before 2027?,300,0.62,0.41,0.47,3,2200,0.0784,175,23,15,0.13,4,3900,814,28000,,0,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-the-end-of-2026,
FlyerOne,1300,1,Iran strike on Qatar by February 28 2026?,360,0.87,0.87,0.87,2,2600,0.4572,50,9,7,0.222,2,0,417,5700,72000,70560,0,0,0,,,,https://polymarket.com/market/iran-strike-on-qatar-by-february-28-2026-334,
0x72676b159cb58...,2100,1,Will the Iranian regime fall by March 31?,360,0.41,0.41,0.41,1,2100,0.181,20,7,6,0.143,2,4200,2400,11400,69120,69120,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31,
wakaflakad,2000,1,Will the Iranian regime fall by June 30?,360,0.61,0.61,0.61,1,2000,0.5031,-206,2,2,0.5,2,2300,-193,4000,11520,10080,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-june-30,
Seanath,2300,1,Will the Iranian regime fall by June 30?,360,0.61,0.61,0.61,1,2300,0.1906,-214,15,6,0.067,1,2100,1600,12200,,0,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-june-30,
fgjgod,2400,1,Will the Iranian regime fall by March 31?,360,0.42,0.42,0.42,1,2400,0.1316,-18,14,8,0.071,5,2300,-522,17900,207360,207360,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31,
UASUAVeee,5700,0,Will Trump visit China by March 31?,360,0.41,0.41,0.41,1,5700,0.0811,108,4,3,0.25,2,5800,-3200,70600,,0,0,0,0,,,,https://polymarket.com/market/will-trump-visit-china-by-march-31,
Kingbeebee,5600,1,Will the Iranian regime fall by March 31?,360,0.43,0.41,0.42,2,12100,0.2033,-80,6,3,0.333,1,12000,7000,59400,1440,1440,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31,
AlongCamePol,2000,1,Will the Iranian regime fall before 2027?,360,0.59,0.56,0.57,2,4100,0.1145,214,18,7,0.111,3,10700,5300,35400,31680,31680,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-the-end-of-2026,
TherealMrblue,3600,1,Will the Iranian regime fall by March 31?,360,0.43,0.43,0.43,1,3600,0.1088,-129,3,2,0.333,1,3500,7300,33100,1440,1440,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31,
0xc038548349B05...,1300,1,Will the Iranian regime fall by June 30?,360,0.57,0.57,0.57,1,1300,0.572,-49,1,1,1,1,1200,-49,2200,420,0,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-june-30,
oxidationcamo,3000,0,Will the US confirm that aliens exist before 2027?,360,0.83,0.83,0.83,2,3700,0.7098,-68,4,3,0.5,3,4400,-59,5300,1140,0,0,1,0,,,,https://polymarket.com/market/will-the-us-confirm-that-aliens-exist-before-2027,
TinyNicolas,3000,1,Will the Iranian regime fall by June 30?,360,0.55,0.48,0.51,2,8000,0.504,729,2,1,1,1,8700,729,15900,74880,74880,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-june-30,
jkey,2100,1,Will the Iranian regime fall by March 31?,360,0.43,0.43,0.43,1,2100,0.0534,-94,16,6,0.063,3,2000,829,39300,167040,165600,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31,
delphy,2000,0,Will the Iranian regime fall by March 31?,360,0.6,0.6,0.6,2,4000,0.1479,49,5,3,0.4,1,2100,2200,27400,324000,322560,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31,
0x557ACa156C39e...,1100,0,Will US or Israel strike Iran on March 4 2026?,360,0.17,0.17,0.17,1,1100,0.018,670,12,7,0.083,4,1800,14700,61200,8640,8640,0,0,0,,,,https://polymarket.com/market/will-us-or-israel-strike-iran-on-march-4-2026,
Kingbeebee,6500,1,Will the Iranian regime fall by March 31?,360,0.41,0.41,0.42,2,12100,0.2033,196,6,3,0.333,1,12300,7300,59400,1440,1440,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31,
mrhaha,3500,1,Will the Iranian regime fall by March 31?,360,0.37,0.37,0.37,1,3500,0.1101,432,5,2,0.2,1,4000,2700,31500,,0,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31,
0x2bfe1d58e94B5...,1200,1,Will the Iranian regime fall by March 31?,360,0.36,0.25,0.3,4,3600,0.254,148,11,4,0.364,0,0,341,14100,1440,0,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31,
0x6f75770e3C3cc...,2500,1,Khamenei out as Supreme Leader of Iran by February 28?,360,0.62,0.31,0.5,4,14100,0.3002,5200,6,2,0.667,0,0,16000,47100,,0,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
kinglavi,4400,1,Khamenei out as Supreme Leader of Iran by February 28?,360,0.61,0.5,0.44,7,17300,0.6593,3500,7,1,1,0,0,3500,26300,614880,614880,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
TinyNicolas,5000,1,Will the Iranian regime fall by June 30?,420,0.48,0.48,0.51,2,8000,0.504,729,2,1,1,1,8700,729,15900,74880,74880,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-june-30,
0x2dc1B8D4f1617...,7000,1,Khamenei out as Supreme Leader of Iran by March 31?,420,0.8,0.45,0.69,5,37800,0.3218,5800,25,9,0.2,2,10800,18400,117600,,0,0,1,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-march-31,
schumann17,4800,0,Will China invade Taiwan by end of 2026?,420,0.89,0.89,0.89,1,4800,0.3119,-8,13,11,0.077,8,4800,-232,15400,492480,492480,0,1,0,,,,https://polymarket.com/market/will-china-invade-taiwan-before-2027,
alg88,58100,0,Khamenei out as Supreme Leader of Iran by February 28?,420,0.4,0.45,0.45,5,85300,0.168,-71000,14,6,0.357,0,0,-74900,507600,,0,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
0xBA0f854E70D9E...,1500,0,Khamenei out as Supreme Leader of Iran by February 28?,420,0.38,0.1,0.54,16,17200,0.2011,-387,24,6,0.667,4,83,-593,85800,31680,30240,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
Danieljay,1500,1,Khamenei out as Supreme Leader of Iran by March 31?,420,0.8,0.48,0.58,3,4100,0.3589,3000,6,3,0.5,1,7100,5500,11300,581760,581760,0,1,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-march-31,
vandetta,2000,0,Khamenei out as Supreme Leader of Iran by February 28?,420,0.38,0.38,0.21,4,3900,0.08,-3300,8,4,0.5,1,620,-3500,49300,,0,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
CybrMadHatter,2200,1,Khamenei out as Supreme Leader of Iran by March 31?,420,0.78,0.26,0.52,2,3100,0.1728,2900,6,3,0.333,1,6000,3700,17800,73440,72000,0,1,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-march-31,
hazani,1400,0,Khamenei out as Supreme Leader of Iran by February 28?,420,0.38,0.68,0.55,5,4500,0.3046,-4200,12,4,0.417,4,280,-4700,14700,220320,220320,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
0x0Ad7f1a66E6B6...,10000,1,Khamenei out as Supreme Leader of Iran by February 28?,420,0.63,0.02,0.22,4,17000,0.0687,10200,18,5,0.222,2,15500,49400,247200,4320,4320,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
Ya-Ali,2000,0,Khamenei out as Supreme Leader of Iran by February 28?,420,0.38,0.38,0.22,2,2700,0.1585,-2200,2,1,1,1,571,-2200,17300,371520,371520,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
Wsinthechat,1300,0,Khamenei out as Supreme Leader of Iran by February 28?,420,0.38,0.38,0.38,1,1300,0.0219,-1200,14,9,0.071,4,113,-1300,59800,,0,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
0x0d7ceF17947f2...,1100,0,Khamenei out as Supreme Leader of Iran by February 28?,420,0.38,0.38,0.38,3,1600,0.1829,-1300,4,2,0.75,1,140,-1300,8600,420,0,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
0x56645E5C7825e...,1700,0,Khamenei out as Supreme Leader of Iran by March 31?,420,0.21,0.27,0.2,19,3200,0.1947,-2800,19,1,1,1,450,-2800,16700,,0,0,1,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-march-31,
AlongCamePol,2000,1,Will the Iranian regime fall before 2027?,420,0.56,0.56,0.57,2,4100,0.1145,320,18,7,0.111,3,10700,5300,35400,31680,30240,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-the-end-of-2026,
vandetta,1500,0,Khamenei out as Supreme Leader of Iran by February 28?,420,0.38,0.38,0.21,4,3900,0.08,-3300,8,4,0.5,1,620,-3500,49300,,0,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
yohow,2500,1,Will the Iranian regime fall before 2027?,420,0.56,0.54,0.55,8,20000,0.318,2300,11,2,0.727,2,23200,-5300,62900,420,0,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-the-end-of-2026,
yohow,2500,1,Will the Iranian regime fall before 2027?,420,0.56,0.54,0.55,8,20000,0.318,2300,11,2,0.727,2,23200,-5300,62900,420,0,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-the-end-of-2026,
yohow,2500,1,Will the Iranian regime fall before 2027?,420,0.56,0.54,0.55,8,20000,0.318,2300,11,2,0.727,2,23200,-5300,62900,420,0,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-the-end-of-2026,
yohow,2500,1,Will the Iranian regime fall before 2027?,420,0.56,0.54,0.55,8,20000,0.318,2300,11,2,0.727,2,23200,-5300,62900,420,0,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-the-end-of-2026,
yohow,2500,0,Khamenei out as Supreme Leader of Iran by February 28?,420,0.38,0.54,0.34,3,8500,0.1352,-7700,11,2,0.273,2,23200,-5300,62900,420,0,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
Vk1999,5000,0,Will the Iranian regime fall by June 30?,420,0.56,0.56,0.56,1,5000,0.5642,-1000,1,1,1,1,4000,-1000,8900,,0,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-june-30,
deezzir,2200,0,Khamenei out as Supreme Leader of Iran by February 28?,420,0.38,0.38,0.38,1,2200,0.383,-2000,1,1,1,1,170,-2000,5700,41760,41760,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
0x5856f1d98853c...,2800,1,Khamenei out as Supreme Leader of Iran by March 31?,420,0.78,0.49,0.64,2,3300,0.1542,1200,7,4,0.286,2,4400,3300,21200,38880,37440,0,1,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-march-31,
0x88f0c6e549fa7...,1500,1,Another Canada election called by June 30?,420,0.44,0.44,0.44,1,1500,0.1107,-954,14,11,0.071,7,1100,-4000,13600,48960,47520,0,1,0,,,,https://polymarket.com/market/another-canada-election-called-by-june-30,
lion.of.zion,6500,1,Will the Iranian regime fall by March 31?,420,0.35,0.12,0.25,3,13800,0.1619,7400,7,2,0.429,1,21200,15700,85400,691200,689760,0,1,0,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-march-31,
nugggetz,1200,1,Will the Fed decrease interest rates by 25 bps after the ...,420,0.14,0.13,0.14,2,2700,0.01,-130,15,6,0.133,5,6900,1900,270000,,0,0,1,0,,,,https://polymarket.com/market/will-the-fed-decrease-interest-rates-by-25-bps-after-the-april-2026-meeting,
alg88,5000,0,Khamenei out as Supreme Leader of Iran by February 28?,420,0.42,0.45,0.45,5,85300,0.168,-71000,14,6,0.357,0,0,-74900,507600,,0,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
0x7f34946456535...,1000,1,Will the U.S. invade Cuba in 2026?,420,0.15,0.15,0.18,2,2000,0.1779,23,2,1,1,1,2000,23,11200,420,0,0,1,0,,,,https://polymarket.com/market/will-the-us-invade-cuba-in-2026,
0xBA0f854E70D9E...,1500,1,Khamenei out as Supreme Leader of Iran by February 28?,420,0.61,0.1,0.54,16,17200,0.2011,-387,24,6,0.667,4,83,-593,85800,31680,30240,0,0,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28,
0x2dc1B8D4f1617...,4000,1,Khamenei out as Supreme Leader of Iran by March 31?,420,0.77,0.45,0.69,5,37800,0.3218,5800,25,9,0.2,2,10800,18400,117600,,0,0,1,0,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-march-31,
